id,nota_c1,nota_c2,nota_c3,nota_c4,nota_c5,nota_c1_gemma4,nota_c2_gemma4,nota_c3_gemma4,nota_c4_gemma4,nota_c5_gemma4,nota_c1_qwen2.5,nota_c2_qwen2.5,nota_c3_qwen2.5,nota_c4_qwen2.5,nota_c5_qwen2.5,nota_c1_qwen3,nota_c2_qwen3,nota_c3_qwen3,nota_c4_qwen3,nota_c5_qwen3,nota_c1_deepseek-r1,nota_c2_deepseek-r1,nota_c3_deepseek-r1,nota_c4_deepseek-r1,nota_c5_deepseek-r1
46,160,200,160,200,160,4,5,5,5,5,3,2,4,3,1,4,5,5,4,5,5,5,5,5,5
47,160,160,160,160,160,3,2,3,4,4,2,1,3,2,1,3,2,2,3,3,3,3,3,3,3
48,160,200,160,160,160,4,5,5,5,5,2,3,2,3,1,4,5,5,5,5,5,5,5,5,4
49,80,80,40,40,80,2,2,2,2,4,2,3,3,2,4,2,2,3,2,3,1,2,2,1,2
50,160,160,200,160,200,4,5,5,5,5,2,1,3,2,4,4,4,4,5,4,4,5,5,4,5
51,40,40,40,40,40,2,2,2,2,0,1,2,3,2,0,2,1,2,2,1,2,2,1,1,0
52,160,200,120,120,80,4,4,4,4,2,0,1,2,3,0,2,3,3,2,4,5,5,5,5,5
53,120,160,160,160,80,4,3,3,5,4,2,3,1,2,0,3,2,3,3,3,4,5,4,3,4
54,120,120,80,120,40,2,2,2,2,2,2,3,2,3,4,3,2,2,2,2,2,3,2,2,3
55,120,120,80,120,120,2,3,3,2,0,2,1,1,2,0,3,3,3,2,2,2,2,2,1,2
56,160,120,160,120,80,2,2,2,3,1,2,3,2,3,1,4,4,4,4,4,3,3,3,2,3
57,80,80,80,80,80,4,5,5,5,5,2,3,3,2,4,3,5,5,5,5,2,3,3,2,3
58,160,120,120,160,120,4,4,3,4,5,2,3,2,3,4,4,3,3,4,4,5,5,5,5,5
59,120,120,120,120,160,4,5,4,4,5,2,3,2,3,1,5,5,5,5,5,5,5,5,5,5
60,120,160,160,120,160,4,5,4,4,5,3,2,3,3,2,4,5,5,4,5,5,4,5,5,4
61,160,120,120,120,160,4,4,3,4,2,3,2,2,3,1,3,3,4,4,4,2,3,3,2,3
62,160,200,120,120,160,4,4,4,4,5,2,1,3,2,4,5,5,5,5,5,5,5,5,4,5
63,80,80,80,80,80,3,4,5,4,3,2,3,2,3,4,3,3,3,3,4,3,3,2,3,3
64,160,120,120,120,120,3,4,3,3,4,2,3,2,3,3,3,2,2,3,4,3,4,3,3,4
65,160,80,160,160,160,5,2,3,4,5,0,1,2,3,0,5,5,5,5,5,4,5,4,4,4
66,120,120,120,120,120,2,2,2,2,2,2,1,1,1,1,2,3,2,2,1,1,1,1,1,1
67,0,0,0,0,0,2,0,2,2,0,0,2,1,2,0,2,1,2,2,1,0,0,0,0,0
68,120,120,120,120,40,3,3,3,4,2,2,1,3,2,0,3,3,2,2,1,2,3,2,2,2
69,160,200,160,200,160,4,4,3,4,3,2,3,4,2,1,2,1,2,2,3,4,5,5,4,5
70,160,160,160,120,0,5,5,5,5,2,3,4,5,4,3,4,5,5,5,5,5,5,4,4,4
71,120,120,120,160,80,3,2,2,2,2,2,3,2,3,4,3,4,3,3,4,2,3,3,2,3
72,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
73,160,120,80,120,80,4,5,5,4,5,2,3,2,1,0,3,4,4,4,3,2,3,3,2,2
74,80,120,120,120,160,3,4,3,3,4,2,3,2,3,4,2,3,3,2,4,4,4,3,3,4
75,160,200,120,160,120,4,5,4,3,5,3,4,5,3,2,4,5,5,4,5,5,5,5,4,5
76,0,0,0,0,0,3,2,2,2,0,2,1,2,1,0,2,3,2,2,3,2,2,2,2,2
77,80,120,120,80,80,4,2,2,2,0,3,2,3,2,1,4,4,4,4,2,2,3,4,2,2
78,120,40,80,120,40,2,2,2,2,2,2,4,3,2,1,3,2,2,2,2,1,2,2,1,2
79,0,0,0,0,0,2,2,2,2,0,0,1,1,2,0,2,0,0,1,0,0,0,0,0,0
80,120,40,40,80,40,1,2,2,2,2,2,1,1,2,0,2,2,2,2,1,1,1,1,1,2
81,0,0,0,0,0,2,4,4,3,4,2,3,4,3,2,2,2,2,2,3,3,2,1,1,3
82,120,40,40,160,40,2,0,2,2,0,0,1,1,2,0,1,0,0,1,0,1,0,1,1,1
83,80,120,80,80,40,3,3,4,2,2,2,3,2,1,0,2,4,4,3,3,3,4,3,3,4
84,120,40,40,120,40,2,2,2,2,0,2,1,1,1,0,2,2,2,2,1,3,3,3,2,4
85,160,120,160,120,160,4,5,5,5,5,2,3,3,2,3,2,4,3,3,5,4,4,3,3,4
86,120,160,160,120,120,4,4,5,4,4,3,2,3,4,5,4,5,5,4,5,5,5,5,4,5
87,120,40,40,120,40,4,2,4,4,5,0,1,2,2,3,2,1,1,2,2,1,0,2,1,3
88,120,120,120,120,160,3,3,3,4,2,2,3,2,1,0,2,2,2,2,2,2,4,3,2,4
89,0,0,0,0,0,2,2,2,2,0,0,1,1,1,0,2,0,0,1,0,0,0,0,0,0
90,120,200,160,120,80,3,2,3,3,2,2,1,1,2,0,3,2,4,4,3,0,0,1,0,1
91,80,80,80,80,80,3,4,4,4,5,2,3,2,3,4,3,2,2,3,4,5,4,4,4,5
92,120,80,120,120,80,4,5,5,5,3,0,2,3,2,1,3,5,5,5,4,2,2,3,3,2
93,160,120,160,160,0,3,4,3,4,0,3,2,3,2,1,2,4,4,4,0,3,4,4,3,2
94,160,120,160,120,120,5,5,5,5,5,2,3,3,2,1,5,5,5,5,5,5,3,4,4,3
95,160,120,160,160,80,4,5,5,4,5,2,3,3,2,4,3,4,5,4,5,3,5,5,5,5
96,160,160,160,160,120,4,5,5,5,5,2,1,3,2,4,3,4,4,4,4,3,2,3,2,3
97,120,160,120,120,80,4,3,3,4,0,3,2,4,3,1,3,4,4,3,2,5,4,4,4,3
98,120,120,80,120,120,2,4,4,3,2,2,3,2,2,1,3,3,3,3,3,3,4,4,3,4
99,160,40,40,160,40,5,4,5,5,5,2,3,2,3,1,5,5,5,5,5,4,4,4,3,4
100,120,120,120,120,160,3,4,4,4,4,2,1,1,2,3,3,4,4,4,5,3,4,4,2,4
101,120,120,120,120,120,2,3,3,1,1,2,4,3,1,2,2,3,3,2,3,2,4,3,2,4
102,160,120,120,80,0,5,5,5,5,2,4,3,3,4,2,4,5,5,5,5,5,5,5,4,5
103,160,40,40,120,40,3,3,3,3,2,2,1,1,2,0,3,2,2,3,3,2,2,2,2,2
104,0,0,0,0,0,2,2,2,2,1,2,1,1,2,0,2,2,2,2,2,1,1,1,1,1
105,120,160,160,120,120,4,5,5,4,2,4,3,3,2,3,4,4,5,4,5,3,4,4,3,4
106,80,120,120,80,80,3,4,3,3,0,2,1,1,2,0,3,2,2,2,0,1,2,2,1,0
107,80,80,80,80,80,3,3,3,3,2,2,1,2,3,4,2,3,3,2,2,1,0,1,1,2
108,160,40,40,120,40,4,3,5,5,5,2,1,1,2,0,3,1,2,2,4,3,3,3,2,4
109,200,200,160,200,160,4,5,5,5,5,3,4,2,3,1,4,5,5,5,5,5,5,5,5,5
110,160,160,160,160,120,3,4,4,3,5,4,3,2,5,1,4,5,5,5,5,5,5,5,5,5
111,200,120,160,120,160,4,5,4,4,5,3,4,3,2,3,4,5,5,5,5,5,5,5,5,5
112,160,40,40,120,40,3,3,2,3,2,2,1,2,3,0,3,2,2,3,1,2,3,3,2,1
113,200,200,160,160,80,4,3,4,5,2,0,1,2,3,0,4,2,4,4,3,3,2,3,2,2
114,200,200,160,160,120,4,4,4,4,2,2,3,1,2,0,4,4,5,5,2,5,5,5,4,4
115,120,160,120,120,0,3,4,3,3,0,3,2,3,3,2,4,4,4,4,2,5,5,4,4,5
116,160,80,80,160,0,3,2,2,2,0,2,3,1,3,0,3,2,2,2,0,2,2,2,2,0
117,200,160,120,160,40,4,5,5,5,4,2,1,3,2,0,4,1,2,3,2,5,5,5,5,5
118,160,40,40,120,40,4,4,4,3,2,2,1,1,2,0,2,3,3,3,2,1,3,2,1,2
119,120,120,120,120,80,3,3,2,2,1,3,2,3,3,1,3,4,4,3,3,4,4,3,3,4
120,120,80,80,80,120,5,5,5,5,5,2,4,3,3,2,5,5,5,5,5,4,5,5,4,5
121,160,160,200,200,0,4,4,3,4,2,3,2,1,2,0,3,4,4,4,3,2,3,3,2,2
122,160,120,120,200,160,4,5,4,5,5,3,4,2,4,1,3,3,2,2,3,5,5,5,5,3
123,80,80,120,120,80,3,4,2,3,5,3,2,1,3,0,2,2,2,2,1,2,2,2,2,2
124,200,200,200,160,160,4,5,5,4,5,2,4,3,3,1,4,5,5,5,5,4,5,5,4,5
125,160,160,160,120,80,5,4,4,4,2,0,1,2,3,0,3,3,4,4,4,4,3,3,4,3
126,0,0,0,0,0,3,2,2,2,2,2,1,2,1,0,2,2,2,2,2,4,3,2,2,2
127,160,160,160,120,120,4,5,5,4,3,2,3,3,2,4,4,5,5,5,5,5,5,5,5,5
128,120,80,80,160,80,4,5,5,5,5,2,3,3,2,1,5,5,5,5,5,4,5,5,4,3
129,120,40,40,120,0,2,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
130,160,120,120,120,200,2,4,3,3,3,2,1,1,2,3,4,4,4,4,5,2,3,3,2,3
131,120,40,40,120,40,2,3,3,2,2,0,1,2,1,0,2,2,2,2,1,1,1,1,1,0
132,120,40,40,120,40,3,2,3,2,4,2,1,3,2,4,3,2,2,2,3,2,3,3,2,3
133,200,40,80,160,40,5,3,5,5,5,0,1,2,3,1,3,2,4,4,4,5,4,4,4,4
134,120,40,40,120,40,3,3,3,2,1,3,2,4,3,1,3,3,3,2,2,3,2,3,2,2
135,120,120,120,160,120,4,2,3,4,3,2,1,3,2,0,3,2,2,3,3,4,3,4,4,4
136,160,40,40,160,40,4,3,5,5,5,0,1,2,3,0,4,4,4,4,4,4,5,5,4,5
137,80,80,80,80,80,3,3,2,2,1,0,1,2,3,0,2,2,2,2,2,1,1,1,1,2
138,120,160,120,120,80,3,3,3,2,2,2,3,2,1,2,3,2,3,2,2,2,3,3,4,3
139,120,120,160,120,40,4,4,4,4,2,2,1,1,2,0,3,0,0,3,0,0,0,0,0,0
140,0,0,0,0,0,2,2,2,1,0,3,4,3,2,1,2,2,2,2,0,3,2,2,3,0
141,80,120,80,80,40,2,2,2,2,0,2,1,1,1,1,2,2,2,2,2,3,3,2,2,2
142,120,40,40,120,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
143,120,120,80,120,120,3,3,3,3,2,2,3,2,3,1,4,3,4,4,5,2,3,3,2,3
144,200,160,160,200,160,4,5,5,4,4,3,4,2,3,5,5,5,5,5,5,5,4,4,4,5
145,80,120,80,120,0,2,3,3,2,0,2,4,3,2,1,3,3,4,3,4,3,4,3,2,3
146,120,160,80,80,160,3,3,2,3,2,3,1,2,1,0,2,2,2,2,1,1,0,0,0,0
147,80,80,80,120,80,3,2,2,2,2,2,1,2,3,0,3,4,4,3,4,4,4,4,3,5
148,160,120,120,160,160,3,4,4,3,5,3,2,3,3,2,4,5,5,4,5,3,3,2,2,2
149,160,200,120,120,120,4,5,4,4,2,3,2,4,3,3,5,5,5,5,5,5,5,5,5,5
150,80,120,80,80,80,3,5,5,4,5,2,4,3,3,2,2,2,2,2,4,5,5,5,4,4
151,80,40,40,80,0,2,2,2,1,0,2,3,1,2,0,1,2,2,2,1,2,3,2,2,3
152,200,120,120,160,120,5,3,5,5,5,0,1,2,3,0,5,5,5,5,5,3,2,3,2,3
153,200,200,160,120,0,5,3,4,3,0,4,5,3,4,2,5,5,5,5,5,4,5,5,4,5
154,120,200,120,120,80,3,2,2,2,0,2,1,1,2,0,2,3,3,2,0,2,3,2,1,0
155,160,120,120,120,80,2,2,2,2,0,2,3,2,1,3,2,3,2,2,2,2,3,3,2,3
156,120,80,80,80,120,2,3,2,2,2,2,1,2,2,0,2,2,2,2,3,0,0,0,0,0
157,120,200,160,160,120,3,3,3,3,4,2,3,3,2,4,3,4,3,2,4,4,5,5,4,4
158,120,120,120,120,120,2,3,2,2,2,2,1,1,1,0,2,2,2,2,1,1,0,0,1,1
159,160,160,160,160,120,3,4,3,3,5,3,4,3,2,1,4,5,5,5,5,3,4,4,2,3
160,160,120,120,160,0,3,5,5,4,0,3,4,2,3,1,2,4,4,3,0,4,5,5,4,5
161,80,80,80,120,0,2,3,3,2,0,2,1,1,2,0,2,2,2,2,0,1,1,1,1,0
162,160,200,160,160,160,4,4,3,4,2,2,3,4,3,0,3,2,2,2,2,3,4,3,3,4
163,120,40,40,120,40,3,3,4,4,3,2,3,3,2,4,3,3,3,3,3,2,3,3,2,3
164,120,40,80,120,80,3,2,2,2,1,2,3,1,2,0,2,1,1,2,0,0,0,0,0,0
165,120,40,40,120,0,3,2,2,3,1,2,1,2,3,0,3,2,2,3,0,0,0,0,0,0
166,80,40,80,80,0,2,2,2,2,0,2,1,1,1,0,2,2,2,2,0,0,0,0,0,0
167,80,120,80,120,80,2,3,2,1,0,2,1,2,1,0,3,2,2,2,1,3,2,3,2,2
168,80,40,40,80,0,2,2,2,2,2,2,1,1,1,0,2,2,2,2,1,1,1,1,1,2
169,160,120,160,120,80,3,2,2,3,2,2,1,3,2,0,3,4,4,4,4,4,4,4,4,4
170,80,40,40,0,0,3,2,2,2,2,3,2,1,3,0,3,4,3,3,3,4,4,4,3,4
171,120,120,120,80,80,3,3,2,2,0,2,3,1,3,0,2,2,2,2,0,2,3,2,2,0
172,120,120,160,120,80,3,4,3,2,2,2,3,2,2,1,3,4,3,3,3,4,3,3,2,3
173,120,80,80,120,160,2,2,2,2,2,1,2,3,2,0,2,2,2,2,1,1,0,1,1,1
174,160,200,120,160,160,4,5,4,5,5,2,3,3,2,4,3,4,5,4,5,4,5,5,4,5
175,80,40,80,40,0,2,2,2,1,0,2,3,1,2,0,2,2,2,2,0,2,2,2,2,2
176,160,120,120,160,160,3,4,2,4,2,3,4,3,2,1,3,3,4,3,4,3,2,3,2,1
177,120,120,160,120,120,2,3,2,1,2,2,1,1,2,0,2,2,2,2,3,1,2,1,1,2
178,0,0,0,0,0,4,3,5,5,5,2,1,1,1,1,3,2,4,3,4,5,5,4,3,4
179,120,120,80,120,120,3,4,3,3,3,2,3,4,3,1,2,2,2,2,0,3,3,3,2,3
180,0,0,0,0,0,0,2,1,1,0,2,1,1,2,0,1,2,2,1,0,0,0,0,0,0
181,120,120,160,120,120,3,4,3,3,0,3,4,2,3,1,3,4,4,3,0,3,3,3,2,0
182,160,160,160,160,200,4,3,4,5,5,2,3,4,3,1,4,2,4,4,4,4,5,5,4,5
183,160,160,160,160,160,4,3,4,5,3,2,1,3,2,4,5,5,5,5,5,5,5,5,4,4
184,0,0,0,0,0,2,2,2,2,0,2,3,1,2,4,2,2,3,2,1,1,2,1,1,2
185,160,200,160,160,120,4,5,4,4,5,3,2,4,3,2,4,5,5,4,5,5,4,4,3,4
186,120,120,120,160,160,3,4,3,3,4,2,3,2,2,3,4,2,2,4,2,2,2,2,3,3
187,200,200,200,160,160,4,5,5,5,5,2,1,3,2,4,3,4,4,4,4,5,5,5,5,5
188,0,0,0,0,0,3,2,2,2,1,3,1,2,3,0,2,2,2,2,3,2,2,3,2,3
189,120,80,120,120,120,4,2,2,4,2,2,3,2,3,1,3,1,2,2,4,3,4,3,2,3
190,120,120,120,120,160,3,4,2,4,5,2,3,2,1,0,2,2,2,2,1,0,2,2,2,0
191,80,40,80,80,40,2,2,2,2,2,1,1,1,1,0,2,2,2,2,1,3,3,3,3,2
192,160,120,160,160,160,4,5,5,5,5,2,4,3,3,2,5,5,5,5,5,5,5,5,5,5
193,120,120,80,120,80,4,3,3,4,2,3,2,1,3,0,3,2,2,2,0,3,2,2,2,0
194,160,160,120,160,120,4,4,4,4,2,2,3,1,2,0,5,5,5,5,5,4,5,5,4,4
195,120,120,80,160,40,2,2,2,2,1,2,3,4,3,2,3,2,2,3,4,3,3,3,2,3
196,120,160,160,120,160,2,4,4,4,5,2,3,3,2,4,3,4,3,3,4,5,5,5,4,5
197,120,120,120,160,80,4,4,4,4,4,3,2,1,3,0,4,3,3,4,3,1,4,3,2,2
198,160,160,200,200,160,4,5,5,5,5,2,1,3,3,0,5,5,5,5,5,4,4,5,4,4
199,120,200,160,120,120,3,3,3,3,3,2,1,2,1,0,3,4,4,3,3,4,4,4,3,4
200,120,80,80,120,120,4,2,3,4,5,2,1,3,2,4,3,1,2,2,3,1,0,1,1,1
201,160,120,120,160,160,4,4,4,4,5,3,2,3,3,1,5,5,5,5,5,5,5,5,4,4
202,120,120,120,120,0,2,2,2,2,0,2,1,1,2,0,2,2,2,2,1,1,2,1,1,1
203,120,120,120,120,80,3,3,2,3,3,3,4,3,2,1,3,4,4,3,4,2,3,3,2,3
204,120,160,120,120,80,3,2,4,2,2,2,1,1,1,0,2,4,3,2,2,0,0,1,0,0
205,80,120,120,80,120,4,5,5,5,5,2,3,4,3,2,4,5,5,4,5,3,5,4,3,4
206,120,120,120,160,120,4,4,3,3,2,2,3,4,2,0,2,3,3,3,2,4,4,4,3,4
207,120,120,120,120,120,2,2,2,2,2,2,3,2,3,1,2,2,2,2,3,1,1,1,1,1
208,160,120,80,120,120,2,0,2,2,0,2,3,1,2,0,2,1,2,2,0,0,0,0,0,0
209,120,40,40,80,40,2,2,2,2,2,2,3,3,2,1,2,2,2,2,3,1,2,2,2,3
210,80,40,40,80,0,2,2,2,2,0,2,3,2,1,0,2,2,2,2,0,1,1,1,1,0
211,0,0,0,0,0,2,2,2,2,1,2,3,2,1,0,2,2,2,2,1,1,1,1,1,1
212,80,80,40,80,80,3,3,2,2,4,2,3,3,2,4,3,4,3,3,4,3,4,3,3,3
213,120,120,80,120,0,2,2,2,2,2,3,2,2,1,0,2,3,2,2,1,1,1,1,1,1
214,120,120,120,120,80,2,2,2,2,2,2,3,3,2,1,3,4,4,4,2,3,2,2,3,2
215,160,80,80,120,40,2,2,2,2,0,2,1,1,1,0,2,2,2,2,1,1,3,2,0,0
216,160,160,200,200,0,5,4,4,5,2,2,4,3,3,0,5,5,5,5,0,5,5,5,5,3
217,160,160,120,120,120,3,3,3,3,2,3,2,1,3,0,3,2,2,3,3,3,3,3,3,2
218,160,200,160,160,0,4,5,5,5,0,3,4,3,2,0,3,4,3,3,0,4,3,3,3,0
219,120,40,40,120,0,2,3,2,2,0,2,1,2,1,0,2,2,2,2,1,2,3,3,2,3
220,120,80,80,120,120,3,2,2,3,2,2,1,1,2,0,3,3,3,3,4,1,1,1,1,2
221,120,120,120,120,80,4,5,5,4,0,1,3,2,3,0,5,5,5,5,2,5,5,5,5,5
222,160,80,160,160,120,5,5,5,5,5,3,4,4,3,2,5,5,5,5,3,3,3,3,3,2
223,160,160,160,160,160,4,5,5,5,5,2,4,3,3,0,4,4,4,4,5,4,4,4,4,5
224,160,120,120,160,120,4,3,4,3,1,2,1,2,2,0,3,4,4,3,4,2,0,0,2,3
225,120,120,160,120,0,4,5,4,4,0,3,4,3,2,4,3,5,5,4,2,3,4,5,3,2
226,80,80,80,80,80,3,4,4,3,2,2,3,1,2,0,3,3,4,3,2,3,2,2,2,3
227,160,200,160,200,200,4,5,5,5,5,3,2,1,3,0,4,5,5,5,5,5,5,5,5,5
228,120,120,120,120,80,3,4,3,4,0,2,1,2,3,0,3,4,3,3,0,1,1,1,1,1
229,80,40,40,80,40,3,2,2,3,1,2,1,1,2,0,2,2,2,2,0,0,0,2,1,0
230,160,160,160,200,120,4,5,5,5,2,3,2,4,3,2,4,5,5,4,0,5,5,5,5,5
231,0,0,0,0,0,3,5,4,3,2,3,2,3,2,4,3,4,4,3,3,2,3,2,3,2
232,120,120,80,80,80,2,2,2,2,2,2,1,1,1,0,1,2,2,2,0,2,2,2,1,2
233,120,120,120,120,40,2,2,2,2,0,2,1,2,3,0,3,2,2,2,1,2,3,3,2,3
234,160,120,160,160,120,3,3,3,3,4,3,4,2,3,1,3,5,5,5,5,3,4,4,3,4
235,120,120,120,120,40,4,5,4,3,2,3,4,3,4,0,2,4,4,3,2,3,4,3,3,2
236,0,0,0,0,0,2,2,2,2,2,2,3,1,2,0,2,2,2,2,0,4,3,3,3,2
237,120,120,80,120,80,4,4,3,5,2,3,2,4,3,1,3,2,2,3,2,3,5,4,3,3
238,120,120,120,120,120,4,4,4,3,4,2,3,4,3,2,5,5,5,5,5,5,5,5,4,5
239,120,120,80,120,40,2,2,2,2,0,2,1,1,2,0,3,2,2,2,1,4,2,2,2,3
240,200,200,200,120,120,4,5,5,3,4,3,4,2,3,1,5,5,5,5,5,5,5,5,5,5
241,120,120,80,80,80,3,3,3,3,2,2,3,2,2,1,3,4,4,4,3,3,3,3,3,3
242,160,200,120,120,80,4,2,2,3,0,2,3,3,2,1,5,5,5,5,4,4,4,4,3,4
243,160,120,120,120,0,3,3,2,3,0,3,2,1,3,0,3,3,3,3,2,2,2,2,2,2
244,120,120,120,160,0,4,4,4,4,0,3,4,3,2,1,4,5,5,5,0,4,4,4,4,4
245,160,160,160,160,80,4,5,4,4,5,1,2,3,2,1,4,5,5,4,4,5,5,5,5,5
246,120,160,120,120,120,3,4,3,3,5,2,3,3,2,4,2,4,4,3,4,3,4,4,2,4
247,40,120,80,40,40,2,2,3,2,0,2,3,1,3,0,2,2,2,2,0,1,2,2,1,2
248,120,40,40,120,40,2,3,2,3,2,2,1,1,2,0,2,2,2,2,0,2,2,1,1,1
249,160,160,160,160,0,4,3,3,4,0,3,2,4,3,1,3,4,4,4,0,5,5,5,5,5
250,160,120,120,120,80,3,4,4,3,4,3,2,3,2,1,3,4,3,3,4,4,5,5,4,3
251,120,80,80,80,120,3,2,2,2,1,2,1,1,1,0,2,3,4,2,3,3,3,2,2,3
252,200,200,200,160,40,4,4,3,4,0,2,4,3,4,0,5,5,5,5,4,4,4,4,4,4
253,120,120,80,160,120,4,3,3,4,4,3,2,3,3,0,5,5,5,5,5,2,3,2,2,3
254,200,120,160,160,120,4,4,4,4,3,2,4,3,3,2,5,5,5,5,5,5,5,5,4,5
255,120,40,40,120,40,2,4,3,2,3,2,1,2,1,0,4,4,4,4,5,2,1,2,2,2
256,120,120,160,160,80,4,5,5,5,5,2,3,2,3,4,3,2,3,2,1,2,3,3,2,0
257,160,120,120,160,80,5,4,3,4,2,3,4,3,4,2,5,5,5,5,5,5,5,5,5,5
258,120,40,40,120,40,2,2,2,2,2,2,1,3,2,0,2,2,3,2,2,2,2,2,2,3
